STATE,DISTRICT,BLOCK,70-90 mts,90-110 mts,110-130 mts,130-150 mts,GREATER THAN 150 mts,TOTAL
TAMIL NADU,THIRUVALLUR,SHOLAVARAM,21,5,0,0,0,26
TAMIL NADU,THIRUVALLUR,THIRUVALANGADU,556,0,0,1,0,557
TAMIL NADU,THIRUVALLUR,THIRUVALLUR,75,12,0,0,0,87
TAMIL NADU,THIRUVALLUR,TIRUTTANI,327,0,0,0,0,327
TAMIL NADU,THIRUVALLUR,VILLIVAKKAM,80,0,0,1,0,81
TAMIL NADU,THIRUVARUR,KORADACHERRY,558,10,1,0,0,569
TAMIL NADU,THIRUVARUR,KOTTUR,996,21,2,0,1,1020
TAMIL NADU,THIRUVARUR,KUDAVASAL,867,4,0,0,3,874
TAMIL NADU,THIRUVARUR,MANNARGUDI,1633,234,71,68,44,2050
TAMIL NADU,THIRUVARUR,MUTHUPETTAI,7,0,0,0,0,7
TAMIL NADU,THIRUVARUR,NANNILAM,1341,1,4,1,2,1349
TAMIL NADU,THIRUVARUR,NEEDAMANGALAM,1851,96,6,1,27,1981
TAMIL NADU,THIRUVARUR,THIRUVARUR,381,1,0,1,1,384
TAMIL NADU,THIRUVARUR,VALANGAIMAN,1498,6,0,0,2,1506
TAMIL NADU,TIRUCHIRAPPALLI,LALGUDI,1,10,0,0,0,11
TAMIL NADU,TIRUCHIRAPPALLI,MANAPPARAI,49,0,0,0,0,49
TAMIL NADU,TIRUCHIRAPPALLI,MANIKANDAM,35,0,0,0,0,35
TAMIL NADU,TIRUCHIRAPPALLI,MANNACHANALLUR,45,4,0,0,1,50
TAMIL NADU,TIRUCHIRAPPALLI,MARUNGAPURI,662,0,0,0,0,662
TAMIL NADU,TIRUCHIRAPPALLI,MUSIRI,89,7,16,38,15,165
TAMIL NADU,TIRUCHIRAPPALLI,PULLAMBADI,151,0,0,0,0,151
TAMIL NADU,TIRUCHIRAPPALLI,THATHAYANGARPETTAI,18,0,0,2,0,20
TAMIL NADU,TIRUCHIRAPPALLI,THIRUVERUMBUR,10,0,0,0,0,10
TAMIL NADU,TIRUCHIRAPPALLI,THOTTIYAM,1,0,0,0,0,1
TAMIL NADU,TIRUCHIRAPPALLI,THURAIYUR,152,0,0,1,0,153
TAMIL NADU,TIRUCHIRAPPALLI,UPPILIAPURAM,61,0,4,1,21,87
TAMIL NADU,TIRUCHIRAPPALLI,VAIYAMPATTY,45,6,12,2,2,67
TAMIL NADU,TIRUNELVELI,ALANGULAM,38,1,0,0,1,40
TAMIL NADU,TIRUNELVELI,CHERANMAHADEVI,6,3,0,0,0,9
TAMIL NADU,TIRUNELVELI,KADAYAM,17,0,1,0,0,18
TAMIL NADU,TIRUNELVELI,KADAYANALLUR,36,2,6,18,14,76
TAMIL NADU,TIRUNELVELI,KALAKAD,10,0,4,0,0,14
TAMIL NADU,TIRUNELVELI,KEELAPAVOOR,8,1,0,0,0,9
TAMIL NADU,TIRUNELVELI,KURUVIKULAM,1,0,0,0,0,1
TAMIL NADU,TIRUNELVELI,MANUR,36,0,1,1,0,38
TAMIL NADU,TIRUNELVELI,MELANEELITHANALLUR,8,0,0,0,0,8
TAMIL NADU,TIRUNELVELI,NANGUNERI,46,1,0,6,4,57
TAMIL NADU,TIRUNELVELI,PALAYAMKOTTAI,19,0,0,1,1,21
TAMIL NADU,TIRUNELVELI,RADHAPURAM,64,9,1,1,47,122
TAMIL NADU,TIRUNELVELI,SANKARANKOVIL,11,1,0,0,0,12
TAMIL NADU,TIRUNELVELI,SHENCOTTAI,34,9,6,14,0,63
TAMIL NADU,TIRUNELVELI,TENKASI,8,2,6,2,3,21
TAMIL NADU,TIRUNELVELI,VALLIOOR,38,1,7,7,0,53
TAMIL NADU,TIRUNELVELI,VASUDEVANALLUR,7,1,0,0,0,8
TAMIL NADU,TIRUVANNAMALAI,ANAKKAVUR,6,0,0,0,0,6
TAMIL NADU,TIRUVANNAMALAI,ARNI,3,0,0,0,0,3
TAMIL NADU,TIRUVANNAMALAI,CHENGAM,3,0,0,0,0,3
TAMIL NADU,TIRUVANNAMALAI,CHETPET,57,0,0,0,0,57
TAMIL NADU,TIRUVANNAMALAI,CHEYYAR,3,0,0,0,0,3
TAMIL NADU,TIRUVANNAMALAI,KALASAPAKKAM,10,0,0,0,0,10
TAMIL NADU,TIRUVANNAMALAI,KILPENNATHUR,7,0,0,0,0,7
TAMIL NADU,TIRUVANNAMALAI,PERNAMALLUR,3,0,0,0,0,3
TAMIL NADU,TIRUVANNAMALAI,POLUR,24,0,0,3,1,28
TAMIL NADU,TIRUVANNAMALAI,PUDUPALAYAM,1,0,0,0,0,1
TAMIL NADU,TIRUVANNAMALAI,THANDARAMPET,2,0,0,0,0,2
TAMIL NADU,TIRUVANNAMALAI,THELLAR,1,0,0,0,0,1
TAMIL NADU,TIRUVANNAMALAI,THURINJAPURAM,17,0,0,0,0,17
TAMIL NADU,TIRUVANNAMALAI,TIRUVANNAMALAI,29,0,0,0,0,29
TAMIL NADU,TIRUVANNAMALAI,VANDAVASI,1,0,0,0,0,1
TAMIL NADU,TIRUVANNAMALAI,VEMBAKKAM,56,9,4,79,60,208
TAMIL NADU,TIRUVANNAMALAI,WEST ARNI,34,0,0,0,0,34
TAMIL NADU,TUTICORIN DISTRICT,ALWARTHIRUNAGARI,11,0,0,0,1,12
TAMIL NADU,TUTICORIN DISTRICT,KARUNGULAM,14,0,0,0,1,15
TAMIL NADU,TUTICORIN DISTRICT,KAYATHAR,21,0,0,0,0,21
TAMIL NADU,TUTICORIN DISTRICT,KOVILPATTI,8,0,0,0,0,8
TAMIL NADU,TUTICORIN DISTRICT,OTTAPIDARAM,3,0,0,0,0,3
TAMIL NADU,TUTICORIN DISTRICT,SATTANKULAM,43,0,1,0,7,51
TAMIL NADU,TUTICORIN DISTRICT,SRIVAIKUNTAM,55,0,0,0,0,55
TAMIL NADU,TUTICORIN DISTRICT,THOOTHUKKUDI,5,0,0,0,0,5
TAMIL NADU,TUTICORIN DISTRICT,TIRUCHENDUR,2,0,0,0,0,2
TAMIL NADU,TUTICORIN DISTRICT,UDANGUDI,3,0,0,0,0,3
TAMIL NADU,TUTICORIN DISTRICT,VILATHIKULAM,112,0,0,0,56,168
TAMIL NADU,VELLORE,ALANGAYAM,11,0,0,0,2,13
TAMIL NADU,VELLORE,ANAICUT,132,7,4,5,45,193
TAMIL NADU,VELLORE,ARAKONAM,325,13,25,9,9,381
TAMIL NADU,VELLORE,ARCOT,135,11,4,0,3,153
TAMIL NADU,VELLORE,GUDIYATHAM,49,0,0,20,25,94
TAMIL NADU,VELLORE,JOLARPET,142,17,28,0,0,187
TAMIL NADU,VELLORE,K.V.KUPPAM,255,15,9,40,158,477
TAMIL NADU,VELLORE,KANDHILI,58,2,6,3,8,77
TAMIL NADU,VELLORE,KANIYAMBADI,51,19,11,3,3,87
TAMIL NADU,VELLORE,KATPADI,230,26,16,19,57,348
TAMIL NADU,VELLORE,KAVERIPAKKAM,895,19,0,1,3,918
TAMIL NADU,VELLORE,MADHANUR,59,2,1,2,17,81
TAMIL NADU,VELLORE,NATRAMPALLI,388,3,1,1,3,396
TAMIL NADU,VELLORE,NEMILI,1309,73,38,1,1,1422
TAMIL NADU,VELLORE,PERNAMBUT,26,6,8,5,0,45
TAMIL NADU,VELLORE,SHOLINGUR,167,19,6,11,19,222
TAMIL NADU,VELLORE,THIMIRI,130,0,1,3,1,135
TAMIL NADU,VELLORE,THIRUPATTUR,58,2,20,13,2,95
TAMIL NADU,VELLORE,VELLORE,64,8,1,3,1,77
TAMIL NADU,VELLORE,WALAJAH,132,3,0,0,3,138
TAMIL NADU,VILLUPPURAM,CHINNA SALEM,3,1,0,0,0,4
TAMIL NADU,VILLUPPURAM,GINGEE,20,1,0,0,0,21
TAMIL NADU,VILLUPPURAM,KALLAKURICHI,24,0,1,4,0,29
TAMIL NADU,VILLUPPURAM,KANAI,135,0,0,0,1,136
TAMIL NADU,VILLUPPURAM,KANDAMANGALAM,3725,363,5,56,12,4161
TAMIL NADU,VILLUPPURAM,KOLIYANUR,1879,38,8,52,52,2029
TAMIL NADU,VILLUPPURAM,MARAKKANAM,239,0,0,0,0,239
TAMIL NADU,VILLUPPURAM,MAYILAM,97,3,0,0,0,100
TAMIL NADU,VILLUPPURAM,MELMALAIYANUR,2,0,0,0,0,2
TAMIL NADU,VILLUPPURAM,MUGAIYUR,8,0,0,0,0,8
TAMIL NADU,VILLUPPURAM,RISHIVANTHAYAM,45,4,1,0,0,50
TAMIL NADU,VILLUPPURAM,THIRUKKOYILUR,205,0,0,0,0,205
